ID,Landmark,X,Y,Z
1,prn,4,5,6
1,al_r,4,5,6
1,al_l,2,5,4
1,s,6,8,8
1,c,5,6,7
2,prn,1,2,3
2,al_r,4,5,6
2,al_l,2,5,4
2,s,6,8,8
2,c,5,6,7
3,prn,1,2,3
3,al_r,1,2,3
3,al_l,4,5,6
3,s,2,5,4
3,c,5,6,7
4,prn,1,2,3
4,al_r,4,5,6
4,al_l,2,5,4
4,s,6,8,8
4,c,5,6,7
5,prn,1,2,3
5,al_r,4,5,6
5,al_l,2,5,4
5,s,6,8,8
5,c,5,6,7
6,prn,1,2,3
6,al_r,4,5,6
6,al_l,2,5,4
6,s,6,8,8
6,c,5,6,7
7,prn,1,2,3
7,al_r,4,5,6
7,al_l,4,5,6
7,s,2,5,4
7,c,6,8,8
8,prn,5,6,7
8,al_r,1,2,3
8,al_l,4,5,6
8,s,2,5,4
8,c,6,8,8
9,prn,5,6,7
9,al_r,1,2,3
9,al_l,4,5,6
9,s,2,5,4
9,c,6,8,8
10,prn,5,6,7
10,al_r,1,2,3
10,al_l,4,5,6
10,s,2,5,4
10,c,6,8,8
11,prn,5,6,7
11,al_r,1,2,3
11,al_l,4,5,6
11,s,2,5,4
11,c,6,8,8
11,prn,5,6,7
11,al_r,1,2,3
11,al_l,4,5,6
11,s,2,5,4
11,c,6,8,8
12,prn,5,6,7
12,al_r,1,2,3
12,al_l,4,5,6
12,s,2,5,4
12,c,6,8,8
